1,1,0.01639344262295082,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
1,2,0.01639344262295082,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
2,1,0.03278688524590164,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
2,2,0.03278688524590164,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
3,1,0.04918032786885246,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
3,2,0.04918032786885246,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
4,1,0.06557377049180328,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
4,2,0.06557377049180328,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
5,1,0.08196721311475409,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
5,2,0.08196721311475409,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
6,1,0.09836065573770492,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
6,2,0.09836065573770492,KnutAgent@9,(Offer  bid:Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None])
7,1,0.11475409836065574,BoulwareNegotiationParty@8,(Offer  bid:Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant])
